Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,289257,15/03/2018,Associate Professor of Pulmonary Science,1 month 21 hours,Expired,1,Other,To be defined,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,279590,12/2/2018,Senior Scientific Officer,4 weeks 2 hours,Expired,1,Biological sciences › Biology,To be defined,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,273158,22/01/2018,Assistant Professor of Infectious Diseases,1 month 23 hours,Expired,1,Medical sciences,Other,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,270500,8/1/2018,Associate Professor of Pulmonary Science,1 month 1 week,Expired,1,Medical sciences › Other,Other,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,260433,20/11/2017,"Professor and Assistant Dean, Year 1 and Year 2",1 month 4 min,Expired,1,Educational sciences › Education,To be defined,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,260432,20/11/2017,"Professor / Associate Professor and Assistant Dean, Curriculum",1 month 19 min,Expired,1,Educational sciences › Education,To be defined,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,243105,4/9/2017,"Professor / Associate Professor of Medical Education Research and Assistant Dean, Assessment",1 month 3 weeks,Expired,1,"Educational sciences › Research methodology, Educational sciences › Teaching methods, Educational sciences › Education, Educational sciences › Learning studies",Other,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,234628,20/07/2017,"Professor / Associate Professor of Metabolomics and Director, Singapore Phenome Centre",1 month 20 hours,Expired,1,Medical sciences › Other,To be defined,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,210641,19/04/2017,PhD by Research Programme (​Neuroscience and Mental Health) - Neural Circuits and Computations underlying Mood and Emotion,3 months 1 week,Expired,1,Medical sciences › Medicine,Not Applicable,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,189977,16/03/2017,Professor of Neuroscience and Mental Health,1 month 22 hours,Expired,2,Medical sciences › Other,Other,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,183667,21/02/2017,PhD by Research Programme (Health Systems and Population Health) - The AI Doctor will See You Now: The Doctor of the Future,5 months 1 week,Expired,1,Medical sciences › Medicine,Not Applicable,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,180917,13/02/2017,PhD by Research Programme - Identifying Patients at High Risk of Avoidable Hospital Attendance or Admission and Characterizing the Health and Social Needs which would Reduce their Risk of Hospitalization (Family Medicine and Primary Care),5 months 2 weeks,Expired,1,Medical sciences › Medicine,Not Applicable,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,179051,6/2/2017,Postdoctoral Research Fellow in Lipidomics/ Systems Biology (Infectious Diseases) (Laboratory of Assistant Professor Xue Li Guan),4 weeks 4 hours,Expired,1,Biological sciences › Biology,To be defined,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,177346,31/01/2017,PhD by Research Programme (Neuroscience and Mental Health) - Inflammatory Mechanisms in Alzheimer’s Disease,6 months 1 day,Expired,1,Medical sciences › Medicine,Not Applicable,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,174113,25/01/2017,PhD by Research Programme (Infection and Immunity) - Development of RNA and Peptide Based Immune Modulators of RNA PRRs,6 months 1 week,Expired,1,Medical sciences › Medicine,Not Applicable,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,170885,12/1/2017,PhD by Research Programme - mHealth for Prevention of Diabetes (Health Systems and Population Health),6 months 2 weeks,Expired,1,Medical sciences › Medicine,Not Applicable,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,170884,12/1/2017,PhD by Research Programme - Cost-Effectiveness of eLearning for Health Professionals (Health Systems and Population Health),6 months 2 weeks,Expired,1,Medical sciences › Medicine,Not Applicable,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,169401,5/1/2017,PhD by Research Programme -Transcriptome Responses to Bisphosphonate and Infection during Bone Fracture Repair (Cross-Cutting Research),6 months 3 weeks,Expired,1,Medical sciences › Medicine,Not Applicable,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,169395,5/1/2017,PhD by Research Programme (Cross-Cutting Research) -Assessing the Molecular Roles of PAK2 and SOS in Limb Development,6 months 3 weeks,Expired,1,Medical sciences › Medicine,Not Applicable,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,169394,5/1/2017,PhD by Research Programme - The Role of RLC in Age-Related Heart Failure Progression (Metabolic Disorders),6 months 3 weeks,Expired,1,Medical sciences › Medicine,Not Applicable,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,168062,28/12/2016,"PhD by Research Programme - The Effect of Steroid Hormones on Pseudomonas Virulence, Persistence and Signaling (Infection and Immunity)",4 years 1 month,Closed,1,Medical sciences › Medicine,Not Applicable,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,161214,8/12/2016,"Senior Lecturer, Medical Education",1 month 1 day,Expired,1,Educational sciences › Education,To be defined,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,161210,8/12/2016,"Assistant Professor, Anatomy",1 month 1 day,Expired,1,Medical sciences › Other,To be defined,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,161209,8/12/2016,Research Fellow (Post-Doc),1 month 1 day,Expired,1,"Educational sciences › Education, Psychological sciences › Psychology",To be defined,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,160414,4/12/2016,PhD by Research Programme - Understanding Molecular Mechanisms of Clonal Evolution in Childhood Leukaemia (Funded Research Programme - Chromosome and Genome Biology),7 months 4 weeks,Expired,1,Medical sciences › Medicine,Not Applicable,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,160413,4/12/2016,PhD by Research Programme - The Role of FIT2/FITM2 in Pancreatic Beta-cell Physiology and Diabetes (Funded Research Programme - Metabolic Disorders),7 months 4 weeks,Expired,1,Medical sciences › Medicine,Not Applicable,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,160412,4/12/2016,PhD by Research Programme - The Molecular Basis of the Flavivirus Replication Process  (Funded Research Programme - Infectious and Immunity),7 months 4 weeks,Expired,1,Medical sciences › Medicine,Not Applicable,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,160411,4/12/2016,PhD by Research Programme - Targeting the Chikungunya Virus Replication Process for Antiviral Therapeutics Development (Funded Research Programme - Infection and Immunity),7 months 4 weeks,Expired,1,Medical sciences › Medicine,Not Applicable,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,160410,4/12/2016,PhD by Research Programme - Synapse‐to‐Nucleus Signaling and Transcription‐Dependent Plasticity in Neurodegenerative Disorders (Funded Research Programme - Neuroscience and Mental Health),7 months 4 weeks,Expired,1,Medical sciences › Medicine,Not Applicable,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,160409,4/12/2016,PhD by Research Programme - Studying Lineage Reprogramming during Kidney Repair/Regeneration (Funded Research Programme - Lineage Reprogramming and Organ Regeneration),7 months 4 weeks,Expired,1,Medical sciences › Medicine,Not Applicable,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,160408,4/12/2016,PhD by Research Programme - New Antibacterial Targeting Potassium Channels (Funded Research Programme - Infection and Immunity),7 months 4 weeks,Expired,1,Medical sciences › Medicine,Not Applicable,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,160407,4/12/2016,PhD by Research Programme - Neuronal Regulation of Cellular Lipid Homeostasis (Funded Research Programme - Neuroscience and Mental Health),7 months 4 weeks,Expired,1,Medical sciences › Medicine,Not Applicable,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,160406,4/12/2016,PhD by Research Programme - Intracellular Lipid Regulation and Insulin-producing Cell Energetics (Funded Research Programme - Metabolic Disorders),7 months 4 weeks,Expired,1,Medical sciences › Medicine,Not Applicable,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,160405,4/12/2016,PhD by Research Programme - Functional Dissection of Membrane Contact Sites (Funded Research Programme - Neuroscience and Mental Health),7 months 4 weeks,Expired,1,Medical sciences › Medicine,Not Applicable,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,160404,4/12/2016,PhD by Research Programme (Funded Research Programme - Developmental Biology and Regenerative Medicine) - Differentiate Human Pluripotent Stem Cells into Functional 3D Kidney Organoid,7 months 4 weeks,Expired,1,Medical sciences › Medicine,Not Applicable,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,160402,4/12/2016,PhD by Research Programme (Funded Research Programme - Cross Cutting) - Comparative Developmental Genomics of the Great Ape Heart: Evolutionary Roots of Human Heart Disease,7 months 4 weeks,Expired,1,Medical sciences › Medicine,Not Applicable,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,160401,4/12/2016,PhD by Research Programme (Health Systems and Population Health) - When “good” can be Made “Better” – Innovating Delivery of Primary Care in Singapore,7 months 4 weeks,Expired,1,Medical sciences › Medicine,Not Applicable,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,160400,4/12/2016,PhD by Research Programme (Health Systems and Population Health) - Mobile Management in Health (m2health) at Your Fingertips,7 months 4 weeks,Expired,1,Medical sciences › Medicine,Not Applicable,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,160399,4/12/2016,PhD by Research Programme (Health Systems and Population Health) - eLearning for Patient Activation and Education,7 months 4 weeks,Expired,1,Medical sciences › Medicine,Not Applicable,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,160398,4/12/2016,PhD by Research Programme (Health Systems and Population Health) - eLearning for Health Care Professional Education,7 months 4 weeks,Expired,1,Medical sciences › Medicine,Not Applicable,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,160397,4/12/2016,PhD by Research Programme (Health Systems and Population Health) - Diabetes App for Better Care,7 months 4 weeks,Expired,1,Medical sciences › Medicine,Not Applicable,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,160385,4/12/2016,PhD by Research Programme (Health Systems and Population Health) - Cardiovascular App for Better Care,7 months 4 weeks,Expired,1,Medical sciences › Medicine,Not Applicable,,Not funded by an EU programme
Lee Kong Chian School of Medicine,Research,,Higher Education Institute,160384,4/12/2016,PhD by Research Programme (Health Systems and Population Health) - Cardiovascular App for Better Care,7 months 4 weeks,Expired,1,Medical sciences › Medicine,Not Applicable,,Not funded by an EU programme
