Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
Latvia University of Life Sciences and Technologies,,,Higher Education Institute,430224,23/07/2019,Open competition for the selection of doctoral students and candidates within the framework of Project 8.2.2 “To Strengthen Academic Staff of Higher Education Institutions in the Areas of Strategic Specialization”,2 weeks 6 days,Expired,1,Medical sciences,To be defined,,Not funded by an EU programme
Latvia University of Life Sciences and Technologies,,,Higher Education Institute,429867,22/07/2019,Open Competition for the International Academic Staff Vacancies within the framework of Project 8.2.2 “To Strengthen Academic Staff of Higher Education Institutions in the Areas of Strategic Specialization”,4 weeks 5 hours,Expired,5,"Agricultural sciences, Architecture, Computer science, Engineering",To be defined,,Not funded by an EU programme
Latvia University of Life Sciences and Technologies,,,Higher Education Institute,420797,25/06/2019,Open competition for the selection of doctoral students and candidates within the framework of Project 8.2.2 “To Strengthen Academic Staff of Higher Education Institutions in the Areas of Strategic Specialization”,2 weeks 5 days,Expired,1,Agricultural sciences,To be defined,,Not funded by an EU programme
Latvia University of Life Sciences and Technologies,,,Higher Education Institute,414125,4/6/2019,Open Competition for the International Academic Staff Vacancies within the framework of Project Applications Selection Second Round of Specific Objective 8.2.2 “To Strengthen Academic Staff of Higher Education Institutions in the Areas of Strategic Specia,2 weeks 6 days,Expired,3,"Architecture, Computer science, Other",To be defined,,Not funded by an EU programme
Latvia University of Life Sciences and Technologies,,,Higher Education Institute,414018,4/6/2019,Open Competition for the International Academic Staff Vacancies within the framework of Project Applications Selection Second Round of Specific Objective 8.2.2 “To Strengthen Academic Staff of Higher Education Institutions in the Areas of Strategic Specia,2 weeks 2 days,Expired,1,Engineering,To be defined,,Not funded by an EU programme
Latvia University of Life Sciences and Technologies,,,Higher Education Institute,407225,13/05/2019,Open competition for the selection of doctoral students and candidates within the framework of Project Applications Selection Second Round of Specific Objective 8.2.2 “To Strengthen Academic Staff of Higher Education Institutions in the Areas of Strategic,1 week 5 days,Expired,1,Engineering › Mechanical engineering,Temporary,,Not funded by an EU programme
Latvia University of Life Sciences and Technologies,,,Higher Education Institute,378894,11/2/2019,Open Competition for the International Academic Staff Vacancies within the framework of Project Applications Selection Second Round of Specific Objective 8.2.2 “To Strengthen Academic Staff of Higher Education Institutions in the Areas of Strategic Specia,1 week 22 hours,Expired,1,Other,Other,,Not funded by an EU programme
Latvia University of Life Sciences and Technologies,,,Higher Education Institute,378892,11/2/2019,Open Competition for the International Academic Staff Vacancies within the framework of Project Applications Selection Second Round of Specific Objective 8.2.2 “To Strengthen Academic Staff of Higher Education Institutions in the Areas of Strategic Specia,4 days 22 hours,Expired,1,Economics,To be defined,,Not funded by an EU programme
Latvian Academy of Culture,,,Higher Education Institute,317648,21/06/2018,Visiting academic staff,2 years 8 months,Closed,4,"Arts, Cultural studies",Temporary,,Not funded by an EU programme
Latvian Academy of Sport Education,,,Higher Education Institute,332073,14/08/2018,Doctoral students and scientific degree candidates,2 years 6 months,Published,9,Other,Other,,Not funded by an EU programme
