Organisation,Department,Laboratory,Organisation Type,EURAXESS offer ID,Posting date,Title,Duration,Status,Number of positions available,Research Field,Type of Contract,Reference Number,EU Research Framework Programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537937,1/7/2020,Analytical chemistry teacher,1 month 4 weeks,Expired,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537936,1/7/2020,Medical Microbiology Teacher,1 month 4 weeks,Expired,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537935,1/7/2020,Physiology Teacher,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537934,1/7/2020,Medical Immunology Teacher,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537932,1/7/2020,Teacher of Parasitology,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537931,1/7/2020,Full-time teacher,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537929,1/7/2020,Teacher of School of Information and Management,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537928,1/7/2020,Teacher of Foreign Language School,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537927,1/7/2020,Teacher of Marxism College,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537925,1/7/2020,Faculty of Humanities and Social Sciences,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537922,1/7/2020,School of Nursing,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537921,1/7/2020,Researcher of Life Science Research Institute,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537920,1/7/2020,Teacher of Life Science Research Institute,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537919,1/7/2020,Teacher of Pharmacy School,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537918,1/7/2020,School of Public Health,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537917,1/7/2020,Basic Medical College Teacher,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537916,1/7/2020,Imported Talent,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
Guangxi Nanning Talents Exchange and Development Center,,,Other,537915,1/7/2020,Postdoctoral,7 months 3 weeks,Published,5,Other,To be defined,,Not funded by an EU programme
