id,customer_type,title,service_count,service_category,is_draft,is_bulk,bulk_from,bulk_to,country,organization,created,modified
148,Incoming,Personalized assistance,1,Taxation/salaries,1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 8:53,7/10/2018 8:53
148,Incoming,Personalized assistance,1,"Daily life (incl. banking, driver license, health care, etc.)",1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 8:53,7/10/2018 8:53
148,Incoming,Personalized assistance,1,Work permits,1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 8:53,7/10/2018 8:53
149,Support staff,Personalized assistance,1,Departure formalities,1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 8:54,7/10/2018 8:54
149,Support staff,Personalized assistance,1,"Entry conditions (visas, residence permit, etc.)",1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 8:54,7/10/2018 8:54
149,Support staff,Personalized assistance,1,"Social security and insurances (health insurance, unemployment benefits, etc.)",1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 8:54,7/10/2018 8:54
149,Support staff,Personalized assistance,1,Work permits,1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 8:54,7/10/2018 8:54
150,Support staff,Personalized assistance,1,"Entry conditions (visas, residence permit, etc.)",1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 9:00,7/10/2018 9:00
150,Support staff,Personalized assistance,1,"Social security and insurances (health insurance, unemployment benefits, etc.)",1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 9:00,7/10/2018 9:00
150,Support staff,Personalized assistance,1,Taxation/salaries,1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 9:00,7/10/2018 9:00
150,Support staff,Personalized assistance,1,Other,1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 9:00,7/10/2018 9:00
150,Support staff,Personalized assistance,1,Work permits,1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 9:00,7/10/2018 9:00
151,Support staff,Personalized assistance,1,"Entry conditions (visas, residence permit, etc.)",1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 9:00,7/10/2018 9:00
151,Support staff,Personalized assistance,1,"Social security and insurances (health insurance, unemployment benefits, etc.)",1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 9:00,7/10/2018 9:00
151,Support staff,Personalized assistance,1,Taxation/salaries,1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 9:00,7/10/2018 9:00
151,Support staff,Personalized assistance,1,Work permits,1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 9:00,7/10/2018 9:00
152,Support staff,Personalized assistance,1,Other,1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 9:01,7/10/2018 9:01
153,Support staff,Personalized assistance,1,Other,1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 9:01,7/10/2018 9:01
154,Support staff,Personalized assistance,1,Other,1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 9:02,7/10/2018 9:02
155,Support staff,Personalized assistance,1,Other,1,0,NULL,NULL,HR,Agency for Mobility and EU Programmes,7/10/2018 9:02,7/10/2018 9:02
